City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
Great Yarmouth,100,GB,2019-09-11,82,52.61,1.73,59.0,11.41
Alimodian,100,PH,2019-09-11,74,10.82,122.43,82.32,9.04
Koslan,55,RU,2019-09-11,98,63.46,48.9,52.62,8.57
Yarmouth,90,CA,2019-09-11,100,43.84,-66.12,55.99,2.24
Gadung,81,ID,2019-09-11,37,-7.32,112.63,90.96,5.19
Murgab,0,TM,2019-09-11,50,37.5,61.97,55.4,4.7
Ngunguru,23,NZ,2019-09-11,75,-35.62,174.5,57.0,10.0
Libertador General San Martin,51,AR,2019-09-11,87,-23.81,-64.79,49.02,2.46
Wajima,75,JP,2019-09-11,69,37.4,136.9,82.4,13.87
Nordhorn,0,DE,2019-09-11,93,52.44,7.07,53.01,1.12
Novobirilyussy,100,RU,2019-09-11,97,56.95,90.69,46.68,3.91
Komsomolskiy,98,RU,2019-09-11,85,67.55,63.78,37.32,5.14
Nago,0,IT,2019-09-11,82,45.88,10.89,64.99,2.24
Safakulevo,1,RU,2019-09-11,85,54.99,62.54,48.48,9.71
Kayerkan,75,RU,2019-09-11,100,69.35,87.76,28.4,17.9
Farsund,86,NO,2019-09-11,76,58.09,6.8,57.99,7.0
Peniche,0,PT,2019-09-11,63,39.36,-9.38,60.8,10.29
Cascais,0,PT,2019-09-11,63,38.7,-9.42,64.99,10.29
Sorong,100,ID,2019-09-11,65,-0.86,131.25,80.88,12.93
Madang,22,CN,2019-09-11,66,35.32,102.79,57.84,3.31
Petropavlovsk-Kamchatskiy,0,RU,2019-09-11,42,53.05,158.65,62.6,22.37
Aswan,0,EG,2019-09-11,36,24.09,32.9,78.8,5.82
Cairns,90,AU,2019-09-11,41,-16.92,145.77,79.0,24.16
La Libertad,0,PE,2019-09-11,28,-16.38,-71.56,55.4,4.7
Iracoubo,50,GF,2019-09-11,92,5.48,-53.21,75.3,4.59
Manggar,0,ID,2019-09-11,46,-2.88,108.27,89.34,9.89
Ondangwa,0,NA,2019-09-11,12,-17.91,15.98,56.94,8.59
Narsaq,100,GL,2019-09-11,65,60.91,-46.05,41.0,2.24
Iberia,28,PE,2019-09-11,62,-11.41,-69.49,78.9,2.84
Sao Jose da Coroa Grande,2,BR,2019-09-11,94,-8.9,-35.15,68.64,0.69
Dutlwe,0,BW,2019-09-11,34,-23.98,23.93,50.64,4.7
Imbituba,0,BR,2019-09-11,82,-28.24,-48.67,66.2,3.36
Linkoping,28,SE,2019-09-11,93,58.41,15.62,55.4,4.7
Cheney,40,US,2019-09-11,93,47.49,-117.58,61.0,4.7
Mahon,75,IE,2019-09-11,93,51.89,-8.4,61.0,19.46
Oksfjord,75,NO,2019-09-11,72,70.24,22.35,60.8,19.46
Mount Isa,0,AU,2019-09-11,8,-20.73,139.49,77.0,13.87
Lingyuan,100,CN,2019-09-11,27,41.24,119.4,72.06,5.46
Gorontalo,40,ID,2019-09-11,43,0.54,123.06,83.58,11.45
Flinders,0,AU,2019-09-11,32,-34.58,150.85,71.01,8.05
Atar,93,MR,2019-09-11,20,20.52,-13.05,96.72,20.4
Morant Bay,20,JM,2019-09-11,69,17.88,-76.41,82.4,5.82
Svetlaya,83,RU,2019-09-11,72,46.54,138.33,60.0,2.91
Nantucket,1,US,2019-09-11,88,41.28,-70.1,66.99,8.05
Kota Tinggi,75,MY,2019-09-11,74,1.73,103.9,87.8,3.36
Montepuez,85,MZ,2019-09-11,87,-13.13,39.0,66.3,1.63
Gizo,40,IL,2019-09-11,73,31.8,34.94,77.0,3.36
Manavgat,0,TR,2019-09-11,78,36.79,31.44,73.4,6.93
Chara,40,GR,2019-09-11,59,39.42,22.43,66.2,6.93
Maceio,0,BR,2019-09-11,94,-9.67,-35.74,69.8,2.24
Fare,69,PF,2019-09-11,79,-16.7,-151.02,77.82,10.58
Mahibadhoo,3,MV,2019-09-11,71,3.78,72.97,83.22,6.06
Simao,100,CN,2019-09-11,99,22.76,100.79,65.76,3.06
Urengoy,11,RU,2019-09-11,68,65.96,78.37,36.78,22.55
Berezanskaya,0,RU,2019-09-11,35,45.7,39.6,64.0,13.89
Okhtyrka,0,UA,2019-09-11,54,50.31,34.89,55.14,6.24
Corn Island,1,NI,2019-09-11,81,12.17,-83.04,83.4,18.99
Susaki,20,JP,2019-09-11,74,33.42,133.28,87.8,9.17
Bayan,0,CN,2019-09-11,60,36.1,102.26,61.8,2.19
Alofi,20,NU,2019-09-11,74,-19.06,-169.92,82.4,9.17
Trat,75,TH,2019-09-11,89,12.25,102.51,87.01,5.82
Niquero,100,CU,2019-09-11,73,20.04,-77.58,85.74,21.18
Conceicao do Araguaia,76,BR,2019-09-11,37,-8.26,-49.26,80.88,0.65
Trincomalee,52,LK,2019-09-11,65,8.58,81.23,85.02,9.28
Olhao,0,PT,2019-09-11,42,37.03,-7.84,68.0,10.29
Luderitz,73,NA,2019-09-11,87,-26.65,15.16,57.2,11.41
Northam,40,AU,2019-09-11,60,-31.65,116.67,71.6,8.05
Kodiak,1,US,2019-09-11,83,39.95,-94.76,79.0,11.41
Warrenton,0,ZA,2019-09-11,45,-28.11,24.85,45.96,2.82
Agirish,100,RU,2019-09-11,83,61.92,63.02,45.6,2.21
Nuuk,97,GL,2019-09-11,93,64.17,-51.74,37.4,7.81
Hofn,100,IS,2019-09-11,96,64.25,-15.21,36.96,12.35
Lerwick,100,GB,2019-09-11,93,60.15,-1.15,55.4,21.92
El Cobre,20,VE,2019-09-11,69,8.04,-72.06,80.6,3.36
Hailar,0,CN,2019-09-11,42,49.2,119.7,65.94,11.99
Brandfort,0,ZA,2019-09-11,48,-28.7,26.46,41.0,6.93
Colomi,75,BO,2019-09-11,51,-17.34,-65.87,60.8,3.36
Hambantota,73,LK,2019-09-11,78,6.12,81.12,82.14,17.43
Rassvet,0,RU,2019-09-11,66,49.11,45.47,61.62,11.1
Hobyo,12,SO,2019-09-11,81,5.35,48.53,76.2,18.43
Shahdadkot,83,PK,2019-09-11,14,27.85,67.91,98.7,6.78
Superior,75,US,2019-09-11,93,47.19,-114.89,60.8,3.29
Bahia Blanca,100,AR,2019-09-11,89,-38.72,-62.27,43.62,9.51
Yingcheng,0,CN,2019-09-11,49,30.93,113.57,91.4,8.95
Itoman,20,JP,2019-09-11,66,26.12,127.67,91.4,10.29
Lodja,92,CD,2019-09-11,91,-3.52,23.6,70.44,2.28
Lakatoro,100,VU,2019-09-11,74,-16.11,167.42,76.02,19.24
San-Pedro,100,CI,2019-09-11,98,4.75,-6.64,71.34,3.15
Grootfontein,3,NA,2019-09-11,51,-19.56,18.1,42.9,3.22
Sokol,72,RU,2019-09-11,97,59.46,40.11,54.78,5.19
Benalla,0,AU,2019-09-11,54,-36.55,145.99,62.01,3.36
Huarmey,33,PE,2019-09-11,91,-10.07,-78.15,60.18,15.64
Gamba,0,CN,2019-09-11,57,28.28,88.52,47.4,4.25
Vilhena,43,BR,2019-09-11,46,-12.74,-60.15,78.0,1.95
Matagami,77,NG,2019-09-11,98,9.67,8.4,66.48,2.53
Ossora,100,RU,2019-09-11,89,59.24,163.07,45.42,9.69
Macheng,40,CN,2019-09-11,50,31.18,115.03,88.8,3.62
Nueva Gerona,17,CU,2019-09-11,73,21.88,-82.8,84.84,22.48
Kichera,100,RU,2019-09-11,89,55.93,110.1,46.32,2.64
Cukai,75,MY,2019-09-11,70,4.25,103.42,87.8,6.93
Collie,88,AU,2019-09-11,49,-33.36,116.15,75.0,9.37
Yerofey Pavlovich,100,RU,2019-09-11,56,53.97,121.97,55.32,5.19
Coquimbo,0,CL,2019-09-11,87,-29.95,-71.34,50.0,4.7
Ambovombe,52,MG,2019-09-11,79,-25.18,46.09,71.16,8.28
Tiznit,0,MA,2019-09-11,82,29.7,-9.73,68.82,30.89
Grand Gaube,40,MU,2019-09-11,88,-20.01,57.66,68.0,3.36
Hay River,5,CA,2019-09-11,58,60.82,-115.79,53.6,5.82
Ivankiv,0,UA,2019-09-11,58,50.93,29.9,61.0,2.24
Natal,40,BR,2019-09-11,83,-5.81,-35.21,73.4,6.93
Chinchani,75,IN,2019-09-11,94,16.42,74.53,71.6,6.93
Toyooka,75,JP,2019-09-11,66,35.55,134.82,89.6,4.7
Chuy,83,UY,2019-09-11,94,-33.69,-53.46,51.36,8.77
San Buenaventura,89,MX,2019-09-11,62,27.06,-101.55,81.0,4.0
Mezen,84,RU,2019-09-11,88,65.85,44.24,51.54,5.79
Praia da Vitoria,40,PT,2019-09-11,93,38.73,-27.07,66.2,11.45
Isangel,100,VU,2019-09-11,72,-19.55,169.27,71.52,15.95
Verkhnevilyuysk,83,RU,2019-09-11,63,63.45,120.31,59.1,3.83
Asyut,0,EG,2019-09-11,57,27.18,31.19,75.2,6.93
Lompoc,90,US,2019-09-11,87,34.64,-120.46,66.2,16.11
Sasvad,99,IN,2019-09-11,80,18.33,74.03,74.76,11.39
Port Augusta,0,AU,2019-09-11,15,-32.49,137.76,77.0,17.22
San Miguel,0,AR,2019-09-11,87,-34.54,-58.72,55.0,9.17
Padang,100,ID,2019-09-11,82,-0.92,100.36,80.7,10.49
Pelym,100,RU,2019-09-11,88,61.01,62.0,48.3,1.45
Koryukivka,0,UA,2019-09-11,53,51.77,32.25,54.6,6.69
Sabha,0,LY,2019-09-11,22,27.03,14.43,84.3,13.6
Guaraniacu,0,BR,2019-09-11,65,-25.1,-52.88,77.0,13.87
Srednekolymsk,83,RU,2019-09-11,48,67.46,153.71,42.54,14.47
Bend,1,US,2019-09-11,76,44.06,-121.32,57.2,4.16
Teguldet,100,RU,2019-09-11,77,57.31,88.17,45.96,4.65
Ambatofinandrahana,5,MG,2019-09-11,89,-20.55,46.8,56.94,2.1
Pierre,20,US,2019-09-11,88,44.37,-100.35,64.99,14.99
Pingdu,0,CN,2019-09-11,37,36.79,119.95,84.2,8.95
Mana,11,NG,2019-09-11,80,13.03,5.27,75.84,7.74
Mersin,20,TR,2019-09-11,94,36.81,34.63,73.4,5.82
Hanover,0,DE,2019-09-11,87,52.37,9.74,50.0,2.24
Sinnamary,38,GF,2019-09-11,81,5.38,-52.96,81.6,16.8
Tezu,89,IN,2019-09-11,91,27.93,96.16,78.18,1.5
The Pas,75,CA,2019-09-11,81,53.82,-101.24,50.0,4.7
Umm Kaddadah,57,SD,2019-09-11,57,13.6,26.69,80.34,6.08
Fomboni,9,KM,2019-09-11,80,-12.28,43.74,76.74,6.55
Lucapa,34,AO,2019-09-11,47,-8.42,20.74,67.74,2.42
Arandis,0,NA,2019-09-11,90,-22.42,14.98,55.0,1.99
Viseu,0,PT,2019-09-11,81,40.66,-7.91,55.0,8.05
Beloha,0,MG,2019-09-11,84,-25.17,45.06,66.12,3.8
Along,100,IN,2019-09-11,96,28.17,94.8,62.52,0.81
Nanakuli,40,US,2019-09-11,58,21.39,-158.15,87.8,13.87
Bandar-e Lengeh,0,IR,2019-09-11,70,26.56,54.88,86.0,6.93
Havre-Saint-Pierre,75,CA,2019-09-11,100,50.23,-63.6,42.8,4.7
Kongoussi,0,BF,2019-09-11,74,13.32,-1.53,79.44,6.33
Guerrero Negro,0,MX,2019-09-11,81,27.97,-114.04,66.48,13.27
Port Blair,100,IN,2019-09-11,78,11.67,92.75,82.32,14.88
Vao,67,EE,2019-09-11,82,59.1,26.19,57.66,10.87
Jos,100,NG,2019-09-11,87,9.92,8.9,66.3,2.19
Durban,100,CA,2019-09-11,97,51.93,-101.44,48.48,10.94
Hengyang,0,CN,2019-09-11,58,26.89,112.6,91.14,2.1
Katherine,32,AU,2019-09-11,7,-14.47,132.26,86.0,18.34
Ixtapa,90,MX,2019-09-11,78,20.71,-105.21,82.4,3.36
Alexandria,42,RO,2019-09-11,82,43.97,25.33,51.01,5.28
Ballina,97,IE,2019-09-11,90,54.11,-9.15,59.0,11.99
Zhangye,33,CN,2019-09-11,37,38.94,100.46,72.42,4.59
Catalina,90,PE,2019-09-11,82,-13.57,-76.13,60.8,14.99
Morgan City,1,US,2019-09-11,88,29.7,-91.21,82.99,3.69
Dubrovytsya,71,UA,2019-09-11,75,51.57,26.57,56.58,3.29
Esperance,30,AU,2019-09-11,63,-33.86,121.89,66.2,14.99
Fairbanks,1,US,2019-09-11,55,64.84,-147.72,60.8,4.7
Ayan,46,IR,2019-09-11,97,38.23,44.7,44.52,5.06
Half Moon Bay,20,US,2019-09-11,72,37.46,-122.43,64.99,6.93
Portland,90,US,2019-09-11,88,43.66,-70.25,64.4,8.05
Nexo,91,DK,2019-09-11,82,55.06,15.13,60.8,25.28
Matamoros,40,US,2019-09-11,78,25.87,-97.51,84.2,6.93
Koygorodok,22,RU,2019-09-11,93,60.44,51.01,48.48,3.71
Sioux Lookout,90,CA,2019-09-11,93,50.1,-91.92,48.2,3.36
Richards Bay,0,ZA,2019-09-11,85,-28.77,32.06,67.74,14.47
Pouebo,79,NC,2019-09-11,50,-20.4,164.57,72.24,11.56
Drumnadrochit,20,GB,2019-09-11,87,57.34,-4.48,59.0,6.93
Lensk,59,RU,2019-09-11,51,60.71,114.91,58.74,6.04
Sundarnagar,0,IN,2019-09-11,74,31.53,76.88,80.7,1.72
Novo Aripuana,33,BR,2019-09-11,68,-5.12,-60.38,79.44,2.64
Kamina,91,CD,2019-09-11,41,-8.74,25.0,69.54,0.87
Bulawayo,0,ZW,2019-09-11,32,-20.16,28.59,51.72,1.57
Sulingen,20,DE,2019-09-11,100,52.68,8.8,51.01,3.36
Nouadhibou,27,MR,2019-09-11,54,20.93,-17.03,80.6,12.75
Haines Junction,33,CA,2019-09-11,65,60.75,-137.51,47.76,6.2
Puerto del Rosario,75,ES,2019-09-11,64,28.5,-13.86,73.4,18.34
Arlit,40,NE,2019-09-11,21,18.74,7.39,94.74,4.76
Changji,39,CN,2019-09-11,57,32.07,116.17,87.9,8.43
Les Cayes,40,HT,2019-09-11,75,18.19,-73.75,83.22,9.57
Key Largo,40,US,2019-09-11,83,25.09,-80.45,84.2,11.41
San Vicente,20,EC,2019-09-11,88,-0.59,-80.41,68.0,9.17
